Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
92,137594,52,10,single,rented,yes,Technical writer,Sagar,Madhya_Pradesh,7,10,1
129,46750,33,13,single,rented,yes,Chef,Morbi,Gujarat,10,11,1
170,624985,47,11,single,rented,no,Software Developer,Varanasi,Uttar_Pradesh,6,11,1
173,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,1
192,979926,61,14,single,rented,yes,Police officer,Indore,Madhya_Pradesh,7,11,1
373,780090,55,9,single,norent_noown,no,Surveyor,Gorakhpur,Uttar_Pradesh,9,14,1
396,321358,78,17,single,rented,no,Dentist,Alwar,Rajasthan,9,13,1
412,527900,61,9,single,rented,yes,Economist,Meerut,Uttar_Pradesh,9,10,1
455,649902,54,15,single,rented,no,Technician,Aurangabad,Maharashtra,8,11,1
470,549476,47,1,single,rented,no,Fashion Designer,Dhule,Maharashtra,1,10,1
473,223993,54,7,single,rented,no,Physician,Rourkela,Odisha,7,11,1
479,706809,71,3,single,rented,no,Librarian,Coimbatore,Tamil_Nadu,3,13,1
508,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,1
516,414060,64,16,single,norent_noown,no,Financial Analyst,Kadapa[23],Andhra_Pradesh,14,11,1
555,340075,45,0,single,rented,no,Industrial Engineer,Bulandshahr,Uttar_Pradesh,0,13,1
709,166480,36,8,single,rented,yes,Police officer,Visakhapatnam[4],Andhra_Pradesh,8,11,1
737,960205,66,16,single,rented,no,Comedian,Vijayawada,Andhra_Pradesh,7,11,1
740,96503,40,13,single,rented,no,Flight attendant,Shimla,Himachal_Pradesh,3,14,1
849,972554,54,13,single,rented,yes,Comedian,Barasat,West_Bengal,13,12,1
940,422892,59,7,single,rented,yes,Biomedical Engineer,Satara,Maharashtra,7,10,1
1218,826478,33,15,single,rented,no,Drafter,Ludhiana,Punjab,13,11,1
1394,424512,60,16,single,rented,no,Designer,Bhopal,Madhya_Pradesh,5,11,1
1485,911309,69,12,single,rented,no,Flight attendant,Nanded,Maharashtra,9,13,1
1503,156145,69,7,single,rented,yes,Web designer,Haldia,West_Bengal,7,13,1
1567,279241,41,0,single,rented,yes,Physician,Thiruvananthapuram,Kerala,0,14,1
1574,660630,70,1,single,rented,yes,Chartered Accountant,Pune,Maharashtra,1,10,1
1575,554517,21,7,single,rented,no,Geologist,Tezpur,Assam,5,13,1
1629,553772,38,19,single,rented,yes,Computer operator,Ludhiana,Punjab,9,14,1
1633,140516,29,19,single,rented,no,Politician,Vellore,Tamil_Nadu,14,10,1
1689,98356,50,4,single,rented,yes,Politician,Malegaon,Maharashtra,4,13,1
1752,978225,72,0,single,rented,yes,Industrial Engineer,Salem,Tamil_Nadu,0,13,1
1825,291209,58,4,single,rented,yes,Air traffic controller,Pali,Rajasthan,4,14,1
1829,700444,24,0,single,rented,no,Consultant,Thiruvananthapuram,Kerala,0,11,1
1855,116617,62,15,single,rented,no,Mechanical engineer,Bhilai,Chhattisgarh,14,11,1
1913,779324,45,20,single,rented,no,Architect,Srinagar,Jammu_and_Kashmir,4,10,1
1971,974748,42,6,single,rented,no,Biomedical Engineer,Nagpur,Maharashtra,6,11,1
1994,151700,33,20,single,rented,no,Politician,Patiala,Punjab,6,13,1
2043,335003,75,11,single,norent_noown,no,Economist,Jalna,Maharashtra,11,13,1
2098,718057,59,19,single,rented,no,Financial Analyst,Guwahati,Assam,4,11,1
2101,228131,30,5,single,rented,no,Technician,Kakinada,Andhra_Pradesh,5,12,1
2102,600473,24,11,single,rented,no,Analyst,Faridabad,Haryana,6,14,1
2113,973794,69,16,single,rented,yes,Geologist,Raipur,Chhattisgarh,8,14,1
2141,75855,33,17,single,rented,no,Technology specialist,Nagaon,Assam,12,11,1
2153,448452,22,7,single,rented,no,Graphic Designer,Bhind,Madhya_Pradesh,6,13,1
2163,147581,74,18,single,norent_noown,no,Chartered Accountant,Jalgaon,Maharashtra,9,11,1
2171,140981,36,17,single,rented,yes,Consultant,Buxar[37],Bihar,9,12,1
2173,289113,40,5,single,rented,yes,Politician,Bilaspur,Chhattisgarh,5,12,1
2316,332177,70,20,single,rented,no,Secretary,Sikar,Rajasthan,7,13,1
2346,265272,75,20,single,rented,no,Mechanical engineer,Delhi_city,Delhi,6,14,1
2353,469269,65,7,single,rented,no,Software Developer,Nashik,Maharashtra,3,12,1
2388,555482,32,12,single,rented,no,Chartered Accountant,Gorakhpur,Uttar_Pradesh,9,11,1
2425,681686,71,18,single,rented,no,Artist,Mangalore,Karnataka,13,10,1
2429,291391,33,8,single,rented,no,Technical writer,Bhiwani,Haryana,6,13,1
2449,882249,36,14,single,owned,no,Dentist,Phagwara,Punjab,12,13,1
2453,998868,44,16,single,rented,no,Microbiologist,Hapur,Uttar_Pradesh,5,13,1
2469,90178,76,9,single,rented,no,Geologist,Mathura,Uttar_Pradesh,9,11,1
2553,229131,76,10,single,rented,no,Aviator,Ichalkaranji,Maharashtra,10,13,1
2582,270761,48,1,single,rented,no,Fashion Designer,Ajmer,Rajasthan,1,11,1
2623,110437,41,8,single,rented,no,Police officer,Gopalpur,West_Bengal,8,12,1
2722,431500,51,10,single,rented,yes,Surveyor,Chandrapur,Maharashtra,10,11,1
2726,72998,51,16,single,rented,no,Geologist,Purnia[26],Bihar,13,13,1
2816,739809,55,4,single,rented,no,Artist,Vijayanagaram,Andhra_Pradesh,4,12,1
2824,601404,47,20,single,rented,no,Petroleum Engineer,Navi_Mumbai,Maharashtra,8,10,1
2900,413811,78,6,single,rented,yes,Magistrate,Akola,Maharashtra,6,11,1
2912,455805,72,0,single,rented,no,Aviator,Raurkela_Industrial_Township,Odisha,0,12,1
2969,794175,52,1,single,rented,no,Aviator,Nanded,Maharashtra,1,12,1
3022,827855,41,15,single,rented,no,Scientist,Vijayanagaram,Andhra_Pradesh,8,13,1
3061,915146,50,4,single,owned,no,Computer operator,Gandhidham,Gujarat,4,13,1
3122,670260,70,16,single,rented,no,Army officer,Siwan[32],Bihar,14,14,1
3127,357702,76,6,single,owned,no,Official,Solapur,Maharashtra,3,13,1
3249,21831,26,14,single,rented,yes,Comedian,Dindigul,Tamil_Nadu,5,10,1
3332,429827,35,2,single,rented,no,Consultant,Silchar,Assam,2,14,1
3340,74741,59,14,single,rented,yes,Graphic Designer,Vellore,Tamil_Nadu,6,11,1
3384,80603,58,12,single,rented,yes,Petroleum Engineer,Ramagundam[27],Telangana,12,13,1
3627,974413,35,1,single,rented,no,Librarian,Burhanpur,Madhya_Pradesh,1,14,1
3645,250306,23,15,single,rented,no,Design Engineer,Nadiad,Gujarat,10,14,1
3666,668849,74,15,single,rented,no,Psychologist,Bhavnagar,Gujarat,13,11,1
3739,428454,53,18,single,rented,no,Police officer,Gulbarga,Karnataka,9,13,1
3778,759604,26,18,single,rented,no,Civil servant,Mathura,Uttar_Pradesh,10,11,1
3780,901466,45,15,single,rented,yes,Web designer,Shivpuri,Madhya_Pradesh,8,13,1
3781,972023,37,6,single,rented,yes,Designer,Yamunanagar,Haryana,5,11,1
3934,990424,30,18,single,rented,no,Artist,Ozhukarai,Puducherry,13,10,1
3953,927040,72,0,single,owned,yes,Aviator,Ranchi,Jharkhand,0,13,1
3970,64822,33,9,single,rented,yes,Computer operator,Katihar,Bihar,9,11,1
3996,460547,70,20,single,rented,no,Software Developer,Asansol,West_Bengal,4,12,1
3998,894168,26,20,single,rented,yes,Hotel Manager,Nashik,Maharashtra,14,14,1
4051,752752,76,3,single,rented,no,Physician,Ahmedabad,Gujarat,3,12,1
4084,893850,73,2,single,rented,yes,Lawyer,Kottayam,Kerala,2,13,1
4229,743219,54,5,single,owned,no,Statistician,Haridwar,Uttarakhand,5,12,1
4332,757960,58,5,single,rented,yes,Engineer,Sambhal,Uttar_Pradesh,5,10,1
4477,765211,38,13,single,rented,yes,Mechanical engineer,Jhansi,Uttar_Pradesh,4,12,1
4532,76353,45,6,single,rented,yes,Civil engineer,Kalyan-Dombivli,Maharashtra,6,13,1
4537,313244,59,10,single,rented,no,Civil servant,Maheshtala,West_Bengal,10,14,1
4567,80183,72,4,single,rented,yes,Financial Analyst,Srinagar,Jammu_and_Kashmir,4,13,1
4580,612456,54,16,single,rented,no,Financial Analyst,Agartala,Tripura,9,11,1
4635,245102,36,4,single,rented,no,Web designer,Mango,Jharkhand,4,12,1
4701,448021,54,11,single,rented,no,Flight attendant,Solapur,Maharashtra,11,14,1
4936,423074,54,16,single,rented,no,Software Developer,Nizamabad,Telangana,14,11,1
5045,926842,26,10,single,owned,no,Financial Analyst,Kolhapur,Maharashtra,10,12,1
5053,10675,23,1,single,rented,yes,Graphic Designer,Hyderabad,Telangana,1,14,1
5285,133768,50,20,single,rented,no,Lawyer,Chandrapur,Maharashtra,10,12,1
5293,555485,31,15,single,rented,yes,Magistrate,Sikar,Rajasthan,12,11,1
5308,678684,67,1,single,rented,no,Magistrate,Kirari_Suleman_Nagar,Delhi,1,10,1
5315,156632,62,5,single,rented,no,Technical writer,Chandrapur,Maharashtra,5,10,1
5321,355672,47,11,single,rented,no,Psychologist,Satna,Madhya_Pradesh,11,14,1
5349,606432,39,9,single,rented,no,Chemical engineer,Gwalior,Madhya_Pradesh,6,10,1
5475,535157,50,2,married,rented,no,Engineer,Kochi,Kerala,2,10,1
5515,495619,26,1,single,rented,no,Consultant,Raiganj,West_Bengal,1,14,1
5558,979926,61,14,single,rented,yes,Police officer,Indore,Madhya_Pradesh,7,11,1
5745,780090,55,9,single,norent_noown,no,Surveyor,Gorakhpur,Uttar_Pradesh,9,14,1
5764,321358,78,17,single,rented,no,Dentist,Alwar,Rajasthan,9,13,1
5784,527900,61,9,single,rented,yes,Economist,Meerut,Uttar_Pradesh,9,10,1
5874,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,1
5915,340075,45,0,single,rented,no,Industrial Engineer,Bulandshahr,Uttar_Pradesh,0,13,1
6092,96503,40,13,single,rented,no,Flight attendant,Shimla,Himachal_Pradesh,3,14,1
6192,972554,54,13,single,rented,yes,Comedian,Barasat,West_Bengal,13,12,1
6204,215207,32,7,married,rented,no,Lawyer,Singrauli,Madhya_Pradesh,7,13,1
6246,248099,56,9,single,rented,no,Police officer,Surat,Gujarat,7,12,1
6249,800194,33,5,single,rented,no,Drafter,Darbhanga,Bihar,5,13,1
6424,532746,78,18,married,rented,yes,Petroleum Engineer,Haridwar,Uttarakhand,10,12,1
6429,902071,63,4,single,rented,no,Economist,Jorhat,Assam,4,12,1
6531,420777,41,1,single,rented,no,Politician,Darbhanga,Bihar,1,11,1
6582,826478,33,15,single,rented,no,Drafter,Ludhiana,Punjab,13,11,1
6660,831067,48,2,married,rented,no,Dentist,Raurkela_Industrial_Township,Odisha,2,11,1
6760,424512,60,16,single,rented,no,Designer,Bhopal,Madhya_Pradesh,5,11,1
6873,156145,69,7,single,rented,yes,Web designer,Haldia,West_Bengal,7,13,1
6935,630763,36,17,married,rented,no,Hotel Manager,Hapur,Uttar_Pradesh,13,13,1
6937,554517,21,7,single,rented,no,Geologist,Tezpur,Assam,5,13,1
6992,553772,38,19,single,rented,yes,Computer operator,Ludhiana,Punjab,9,14,1
7003,603307,46,12,married,rented,yes,Scientist,Bongaigaon,Assam,12,10,1
7103,52436,37,19,married,rented,yes,Graphic Designer,Panipat,Haryana,10,14,1
7185,291209,58,4,single,rented,yes,Air traffic controller,Pali,Rajasthan,4,14,1
7189,700444,24,0,single,rented,no,Consultant,Thiruvananthapuram,Kerala,0,11,1
7214,116617,62,15,single,rented,no,Mechanical engineer,Bhilai,Chhattisgarh,14,11,1
7274,779324,45,20,single,rented,no,Architect,Srinagar,Jammu_and_Kashmir,4,10,1
7352,151700,33,20,single,rented,no,Politician,Patiala,Punjab,6,13,1
7459,718057,59,19,single,rented,no,Financial Analyst,Guwahati,Assam,4,11,1
7474,973794,69,16,single,rented,yes,Geologist,Raipur,Chhattisgarh,8,14,1
7502,75855,33,17,single,rented,no,Technology specialist,Nagaon,Assam,12,11,1
7512,448452,22,7,single,rented,no,Graphic Designer,Bhind,Madhya_Pradesh,6,13,1
7528,140981,36,17,single,rented,yes,Consultant,Buxar[37],Bihar,9,12,1
7532,289113,40,5,single,rented,yes,Politician,Bilaspur,Chhattisgarh,5,12,1
7676,332177,70,20,single,rented,no,Secretary,Sikar,Rajasthan,7,13,1
7749,555482,32,12,single,rented,no,Chartered Accountant,Gorakhpur,Uttar_Pradesh,9,11,1
7789,291391,33,8,single,rented,no,Technical writer,Bhiwani,Haryana,6,13,1
7809,882249,36,14,single,owned,no,Dentist,Phagwara,Punjab,12,13,1
7813,998868,44,16,single,rented,no,Microbiologist,Hapur,Uttar_Pradesh,5,13,1
7832,90178,76,9,single,rented,no,Geologist,Mathura,Uttar_Pradesh,9,11,1
7934,270761,48,1,single,rented,no,Fashion Designer,Ajmer,Rajasthan,1,11,1
8004,490369,23,7,single,rented,yes,Analyst,Jalandhar,Punjab,6,14,1
8077,72998,51,16,single,rented,no,Geologist,Purnia[26],Bihar,13,13,1
8262,455805,72,0,single,rented,no,Aviator,Raurkela_Industrial_Township,Odisha,0,12,1
8415,915146,50,4,single,owned,no,Computer operator,Gandhidham,Gujarat,4,13,1
8473,670260,70,16,single,rented,no,Army officer,Siwan[32],Bihar,14,14,1
8681,429827,35,2,single,rented,no,Consultant,Silchar,Assam,2,14,1
8740,80603,58,12,single,rented,yes,Petroleum Engineer,Ramagundam[27],Telangana,12,13,1
9001,974413,35,1,single,rented,no,Librarian,Burhanpur,Madhya_Pradesh,1,14,1
9019,250306,23,15,single,rented,no,Design Engineer,Nadiad,Gujarat,10,14,1
9040,668849,74,15,single,rented,no,Psychologist,Bhavnagar,Gujarat,13,11,1
9153,759604,26,18,single,rented,no,Civil servant,Mathura,Uttar_Pradesh,10,11,1
9155,901466,45,15,single,rented,yes,Web designer,Shivpuri,Madhya_Pradesh,8,13,1
9156,972023,37,6,single,rented,yes,Designer,Yamunanagar,Haryana,5,11,1
9312,250968,60,7,single,rented,no,Lawyer,Bhatpara,West_Bengal,4,14,1
9332,927040,72,0,single,owned,yes,Aviator,Ranchi,Jharkhand,0,13,1
9351,64822,33,9,single,rented,yes,Computer operator,Katihar,Bihar,9,11,1
9382,460547,70,20,single,rented,no,Software Developer,Asansol,West_Bengal,4,12,1
9398,235563,48,5,married,rented,no,Flight attendant,Katihar,Bihar,5,11,1
9442,752752,76,3,single,rented,no,Physician,Ahmedabad,Gujarat,3,12,1
9480,893850,73,2,single,rented,yes,Lawyer,Kottayam,Kerala,2,13,1
9632,743219,54,5,single,owned,no,Statistician,Haridwar,Uttarakhand,5,12,1
9869,765211,38,13,single,rented,yes,Mechanical engineer,Jhansi,Uttar_Pradesh,4,12,1
9932,313244,59,10,single,rented,no,Civil servant,Maheshtala,West_Bengal,10,14,1
9959,80183,72,4,single,rented,yes,Financial Analyst,Srinagar,Jammu_and_Kashmir,4,13,1
9971,612456,54,16,single,rented,no,Financial Analyst,Agartala,Tripura,9,11,1
10025,245102,36,4,single,rented,no,Web designer,Mango,Jharkhand,4,12,1
10178,389819,29,3,married,rented,no,Drafter,Rampur,Uttar_Pradesh,3,14,1
10312,423074,54,16,single,rented,no,Software Developer,Nizamabad,Telangana,14,11,1
10424,10675,23,1,single,rented,yes,Graphic Designer,Hyderabad,Telangana,1,14,1
10669,555485,31,15,single,rented,yes,Magistrate,Sikar,Rajasthan,12,11,1
10695,355672,47,11,single,rented,no,Psychologist,Satna,Madhya_Pradesh,11,14,1
10724,606432,39,9,single,rented,no,Chemical engineer,Gwalior,Madhya_Pradesh,6,10,1
10855,535157,50,2,married,rented,no,Engineer,Kochi,Kerala,2,10,1
10915,624985,47,11,single,rented,no,Software Developer,Varanasi,Uttar_Pradesh,6,11,1
10919,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,1
11141,321358,78,17,single,rented,no,Dentist,Alwar,Rajasthan,9,13,1
11203,649902,54,15,single,rented,no,Technician,Aurangabad,Maharashtra,8,11,1
11216,549476,47,1,single,rented,no,Fashion Designer,Dhule,Maharashtra,1,10,1
11219,223993,54,7,single,rented,no,Physician,Rourkela,Odisha,7,11,1
