Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Profession_Encoded
9350545,48,16,0,0,0,12,14,33
5867312,43,1,0,2,0,1,13,18
998868,44,16,0,0,0,5,13,31
3455137,56,19,0,0,0,12,11,16
2754687,30,3,0,0,0,3,11,48
5911008,75,18,0,0,0,6,10,27
1969474,65,12,0,0,0,12,12,49
618333,37,19,0,0,1,6,10,39
8693354,69,9,0,1,0,6,12,43
6905894,39,8,0,0,1,7,11,31
1151401,66,7,0,0,1,6,11,26
7758123,61,18,0,0,0,3,13,17
1969614,56,14,0,0,1,12,14,8
4360408,47,19,0,0,0,6,13,35
5753312,48,5,0,0,1,5,13,23
5660425,55,3,0,0,0,3,13,7
8669868,63,10,0,0,0,6,11,37
4406911,45,3,0,0,1,3,14,45
3337437,67,5,0,0,0,5,14,36
7923142,39,5,0,0,0,5,13,50
3701293,62,20,0,0,0,3,11,14
4054318,74,3,0,0,0,3,11,15
1823762,72,4,0,0,0,4,11,49
606432,39,9,0,0,0,6,10,48
3280637,70,0,0,0,0,0,14,8
1632386,43,20,0,0,0,11,14,46
2593784,66,1,0,0,1,1,11,10
5951973,41,9,0,0,0,9,11,35
3144968,28,9,0,0,0,6,11,17
3135789,75,1,0,0,1,1,11,24
1467935,28,8,1,0,0,8,13,13
1045513,40,2,0,1,0,2,14,11
7747297,34,2,0,0,0,2,11,21
5377559,37,1,0,0,0,1,11,36
1612818,79,10,0,0,0,10,11,33
8953239,65,13,0,0,0,3,10,17
416754,26,6,0,0,0,4,12,9
9763429,73,5,0,0,0,5,11,11
5161711,52,0,1,0,0,0,12,37
9891839,33,16,0,0,1,11,10,27
74741,59,14,0,0,1,6,11,9
289113,40,5,0,0,1,5,12,3
1932556,56,15,0,0,0,4,13,23
5707684,40,2,0,0,0,2,11,18
2282442,47,4,0,0,1,4,13,44
4074621,27,14,0,0,1,8,13,12
1931735,34,0,0,0,1,0,10,36
2477727,63,15,0,0,0,7,12,49
3430788,63,3,0,0,0,3,10,22
1581300,50,6,0,0,0,6,14,6
2280615,74,1,0,1,0,1,14,47
4005758,79,11,0,0,1,7,12,30
606432,39,9,0,0,0,6,10,48
5559665,56,8,0,0,1,3,12,29
5697835,55,14,0,2,0,6,14,49
2024213,38,19,0,0,0,8,14,36
4665440,59,5,0,0,0,5,11,5
2453076,77,18,0,0,0,3,12,41
3023559,65,16,1,0,1,8,10,45
3507940,50,8,0,2,0,7,13,27
384314,57,7,0,0,0,3,12,0
2966707,58,3,0,0,0,3,12,48
6006286,55,5,0,0,1,3,13,42
30515,73,12,0,0,0,3,11,14
4501384,45,12,1,0,1,10,12,6
3193321,22,12,0,0,1,12,13,23
882249,36,14,0,2,0,12,13,34
549476,47,1,0,0,0,1,10,28
1148139,27,9,0,0,0,5,14,43
3632655,76,18,0,0,0,12,10,2
5897750,76,14,0,0,0,5,11,20
4184775,77,9,0,0,1,9,12,1
5582092,74,3,0,0,0,3,13,9
7659824,27,18,0,0,0,8,10,24
7999348,52,18,0,0,0,8,10,17
5938764,62,12,0,2,1,12,14,1
7293772,58,6,0,0,0,6,11,17
8529345,44,2,0,0,0,2,10,42
5824731,61,7,0,0,1,6,14,21
7715562,55,6,1,0,0,6,10,49
8888670,23,5,0,0,0,5,12,14
2212744,64,7,1,0,0,7,10,10
628588,57,14,0,0,0,9,10,3
8290616,46,5,0,0,0,5,11,7
1127903,74,15,0,0,1,3,12,8
8256953,64,19,0,0,0,9,13,27
5899739,75,11,0,0,1,3,12,12
3729339,73,3,0,0,0,3,14,47
3898027,71,18,0,0,0,13,10,40
2803101,25,10,0,0,0,10,14,14
3582731,54,2,0,0,0,2,14,5
7018326,33,20,0,1,1,4,11,31
2030566,42,8,0,0,0,4,14,43
8823581,27,15,0,0,0,10,12,0
9279566,45,14,0,0,1,7,12,30
1072440,29,15,0,0,0,6,12,22
2975236,55,13,0,0,1,12,10,43
452016,46,5,0,2,0,5,10,17
4852610,54,14,0,0,0,6,11,16
8039588,41,2,0,0,0,2,11,25
5704652,61,12,0,0,0,3,11,31
6677192,40,14,1,0,0,5,12,5
9474065,73,11,0,0,0,3,11,9
414060,64,16,0,1,0,14,11,21
3955996,23,11,0,1,1,9,10,0
9976498,69,12,0,0,0,12,10,8
6491605,24,15,0,0,0,14,12,0
3329838,71,2,0,0,0,2,12,46
3423478,76,9,0,0,0,4,10,42
3688983,36,19,0,0,0,3,10,18
5734106,22,3,0,0,0,3,11,4
6710324,25,0,0,0,1,0,10,13
1715663,54,16,0,0,0,14,11,0
1598789,60,14,0,0,0,5,13,18
2756145,42,8,0,0,1,5,11,2
3997531,55,1,0,0,0,1,12,42
3734522,47,1,0,0,0,1,10,24
5370651,52,11,0,0,0,11,12,22
