Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
75,2116007,24,5,single,rented,yes,Analyst,Suryapet,Telangana,5,13,1
84,6245331,65,6,single,rented,no,Financial Analyst,Eluru[25],Andhra_Pradesh,6,12,0
86,5898669,32,9,married,rented,no,Firefighter,Aligarh,Uttar_Pradesh,6,13,0
92,137594,52,10,single,rented,yes,Technical writer,Sagar,Madhya_Pradesh,7,10,1
107,5165629,61,0,single,rented,no,Aviator,North_Dumdum,West_Bengal,0,12,1
114,1319541,72,10,married,rented,no,Politician,Bhagalpur,Bihar,10,14,0
139,2966871,78,7,married,rented,no,Magistrate,Patna,Bihar,3,11,0
143,4392927,41,2,single,rented,no,Chemical engineer,Mirzapur,Uttar_Pradesh,2,13,1
146,2570688,46,9,single,rented,no,Firefighter,Motihari[34],Bihar,9,11,0
149,4269729,70,8,single,rented,yes,Fashion Designer,Unnao,Uttar_Pradesh,8,13,0
160,1134496,77,3,single,rented,no,Surgeon,Jehanabad[38],Bihar,3,10,1
165,1856689,46,5,single,rented,yes,Air traffic controller,Amravati,Maharashtra,5,12,1
173,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,1
198,6816106,31,20,single,rented,yes,Statistician,Adoni,Andhra_Pradesh,11,14,0
199,4853948,39,10,single,rented,no,Magistrate,Tirupati[21][22],Andhra_Pradesh,10,10,0
207,9845816,31,20,single,rented,no,Lawyer,Thanjavur,Tamil_Nadu,14,11,0
231,9812058,72,1,single,rented,yes,Economist,Thrissur,Kerala,1,14,0
260,6415225,54,13,single,rented,no,Flight attendant,Firozabad,Uttar_Pradesh,3,13,0
267,9933885,65,12,single,rented,no,Comedian,Vasai-Virar,Maharashtra,4,11,0
268,4187964,78,2,single,rented,yes,Dentist,Pallavaram,Tamil_Nadu,2,10,1
289,4531094,41,6,single,rented,no,Magistrate,Unnao,Uttar_Pradesh,6,13,0
322,7086647,24,4,married,rented,no,Engineer,Ambattur,Tamil_Nadu,4,14,0
328,3261742,36,11,single,rented,no,Consultant,Bhusawal,Maharashtra,4,10,0
335,8593443,49,12,single,rented,no,Chef,Jalna,Maharashtra,9,14,0
367,6190329,21,13,single,rented,no,Geologist,Jabalpur,Madhya_Pradesh,13,11,0
372,5273396,30,13,single,rented,no,Physician,Proddatur,Andhra_Pradesh,4,11,0
373,780090,55,9,single,norent_noown,no,Surveyor,Gorakhpur,Uttar_Pradesh,9,14,1
412,527900,61,9,single,rented,yes,Economist,Meerut,Uttar_Pradesh,9,10,1
428,2259654,42,2,single,rented,no,Mechanical engineer,Davanagere,Karnataka,2,10,1
454,3272246,72,7,single,rented,yes,Surveyor,Kulti,West_Bengal,7,14,0
470,549476,47,1,single,rented,no,Fashion Designer,Dhule,Maharashtra,1,10,1
473,223993,54,7,single,rented,no,Physician,Rourkela,Odisha,7,11,1
477,9304920,44,6,single,rented,no,Physician,Dharmavaram,Andhra_Pradesh,6,11,0
479,706809,71,3,single,rented,no,Librarian,Coimbatore,Tamil_Nadu,3,13,1
495,1988524,50,6,single,rented,no,Surveyor,Jaipur,Rajasthan,6,13,1
501,8145890,48,5,single,rented,yes,Software Developer,Avadi,Tamil_Nadu,5,11,0
508,976533,48,2,single,rented,no,Statistician,Bardhaman,West_Bengal,2,10,1
543,5397462,39,12,single,rented,yes,Fashion Designer,Gulbarga,Karnataka,12,13,0
555,340075,45,0,single,rented,no,Industrial Engineer,Bulandshahr,Uttar_Pradesh,0,13,1
582,4272756,29,6,single,rented,no,Surveyor,Danapur,Bihar,6,13,0
621,4683990,33,9,single,rented,yes,Physician,Panihati,West_Bengal,9,11,0
633,117262,65,15,single,rented,no,Biomedical Engineer,Uluberia,West_Bengal,12,12,0
654,5203541,30,17,single,rented,no,Physician,Sangli-Miraj_&_Kupwad,Maharashtra,8,13,0
658,7145203,44,6,single,owned,yes,Industrial Engineer,Kamarhati,West_Bengal,3,14,0
662,6019535,75,9,single,rented,yes,Surveyor,Nadiad,Gujarat,3,13,0
667,3283513,25,17,married,owned,no,Architect,Shivpuri,Madhya_Pradesh,4,13,0
689,4588175,49,20,single,rented,no,Secretary,Bilaspur,Chhattisgarh,6,11,0
709,166480,36,8,single,rented,yes,Police officer,Visakhapatnam[4],Andhra_Pradesh,8,11,1
743,1868963,73,16,single,rented,yes,Computer hardware engineer,"Khora,_Ghaziabad",Uttar_Pradesh,7,12,0
752,7002478,38,20,married,rented,no,Secretary,Sambalpur,Odisha,5,13,0
776,6590010,41,13,single,rented,no,Analyst,Anantapur,Andhra_Pradesh,6,13,0
795,7394642,53,11,single,rented,yes,Police officer,Bathinda,Punjab,11,14,0
799,3734522,47,1,single,rented,no,Surveyor,Jamalpur[36],Bihar,1,10,1
803,2018913,68,7,single,rented,yes,Web designer,Dewas,Madhya_Pradesh,7,13,1
815,5098928,71,17,single,rented,no,Lawyer,Darbhanga,Bihar,4,11,0
873,4306831,49,17,single,rented,no,Biomedical Engineer,Katihar,Bihar,6,12,0
897,6381365,67,11,single,rented,no,Surveyor,Ulhasnagar,Maharashtra,4,12,0
913,4655230,50,4,single,rented,yes,Biomedical Engineer,Panihati,West_Bengal,4,10,0
940,422892,59,7,single,rented,yes,Biomedical Engineer,Satara,Maharashtra,7,10,1
955,2741381,35,17,single,rented,no,Computer operator,Miryalaguda,Telangana,3,14,0
974,2557871,55,14,single,rented,yes,Biomedical Engineer,Dibrugarh,Assam,3,12,0
986,2453112,34,6,single,rented,no,Microbiologist,Rampur,Uttar_Pradesh,6,14,1
993,8448595,32,13,single,owned,no,Financial Analyst,Satna,Madhya_Pradesh,3,13,0
1016,2876720,65,15,single,rented,no,Fashion Designer,Durg,Chhattisgarh,4,14,0
